cenario,mes,clientes,prestadores,pedidos,liquidez,conversao,gmv,receita,nota,churn,indicacao,expectativa
pessimista,1,56,50,34,0.805,0.379,2250,495,4.29,0.040,0.000,82.9
pessimista,2,62,37,38,0.824,0.389,2679,589,4.26,0.183,0.091,74.0
pessimista,3,68,31,41,0.773,0.380,2796,615,4.25,0.157,0.167,70.9
pessimista,4,73,28,43,0.726,0.356,2868,631,4.25,0.144,0.167,70.8
pessimista,5,78,26,46,0.707,0.348,3101,682,4.24,0.134,0.231,71.1
pessimista,6,83,25,49,0.708,0.360,3305,727,4.24,0.129,0.231,72.6
pessimista,7,87,25,51,0.713,0.361,3497,769,4.25,0.119,0.231,72.3
pessimista,8,93,25,55,0.708,0.361,3535,778,4.25,0.117,0.214,70.8
pessimista,9,99,26,57,0.710,0.366,3802,836,4.25,0.113,0.231,71.9
pessimista,10,104,26,61,0.718,0.367,4141,911,4.25,0.115,0.267,73.7
pessimista,11,110,26,62,0.727,0.371,4231,931,4.25,0.104,0.267,72.1
pessimista,12,116,26,64,0.737,0.385,4591,1010,4.25,0.104,0.267,74.5
base,1,61,55,37,0.826,0.485,3158,632,4.28,0.020,0.000,84.3
base,2,73,45,44,0.849,0.492,3931,786,4.26,0.158,0.100,76.7
base,3,86,41,51,0.815,0.500,4697,939,4.25,0.132,0.182,76.1
base,4,101,39,61,0.816,0.493,5610,1122,4.23,0.115,0.217,77.7
base,5,117,39,69,0.812,0.507,6374,1275,4.23,0.099,0.240,77.6
base,6,135,40,80,0.823,0.512,7648,1530,4.22,0.092,0.259,78.9
base,7,154,42,91,0.833,0.517,8778,1756,4.23,0.084,0.276,80.3
base,8,175,44,102,0.846,0.535,10152,2030,4.23,0.075,0.303,80.2
base,9,200,47,114,0.859,0.544,11357,2271,4.23,0.071,0.314,80.8
base,10,228,50,128,0.872,0.545,13213,2643,4.22,0.069,0.333,80.5
base,11,259,53,145,0.881,0.557,15249,3050,4.22,0.065,0.341,82.1
base,12,292,56,165,0.894,0.570,17446,3489,4.22,0.059,0.362,83.1
otimista,1,71,68,42,0.873,0.575,4306,861,4.27,0.000,0.000,86.3
otimista,2,96,70,57,0.937,0.646,6746,1349,4.25,0.147,0.118,83.9
otimista,3,127,76,77,0.952,0.671,9380,1876,4.23,0.130,0.200,84.5
otimista,4,165,84,98,0.965,0.677,11991,2398,4.22,0.119,0.260,84.1
otimista,5,211,93,125,0.978,0.700,15857,3171,4.22,0.111,0.297,84.9
otimista,6,267,103,158,0.983,0.699,20013,4003,4.22,0.103,0.341,84.0
otimista,7,334,114,195,0.988,0.714,25590,5118,4.21,0.101,0.371,85.1
otimista,8,415,124,244,0.991,0.724,31585,6317,4.21,0.096,0.397,84.6
otimista,9,514,137,304,0.994,0.724,39967,7993,4.21,0.092,0.425,85.3
otimista,10,634,151,370,0.994,0.720,48650,9730,4.20,0.088,0.447,84.8
otimista,11,778,165,459,0.996,0.724,60181,12036,4.20,0.082,0.465,86.1
otimista,12,952,182,557,0.997,0.723,73339,14668,4.20,0.078,0.482,85.9
